Date,Open,High,Low,Close,Volume,Adj Close
2017-05-10,23.91,24.17,23.870001,24.15,48314100,24.15
2017-05-09,24.030001,24.309999,23.870001,23.98,59320200,23.98
2017-05-08,23.75,24.059999,23.75,23.959999,55716500,23.959999
2017-05-05,23.98,23.99,23.60,23.74,56094500,23.74
2017-05-04,23.98,24.049999,23.73,23.85,67792600,23.85
2017-05-03,23.370001,23.780001,23.34,23.77,63655400,23.77
2017-05-02,23.610001,23.67,23.33,23.530001,57035800,23.530001
2017-05-01,23.52,23.77,23.35,23.610001,72067100,23.610001
